N,P,K,temperature,humidity,ph,rainfall,label,NPK,THI,temp_rain,ph_rain,label_enc,rainfall_level_Med,rainfall_level_High,rainfall_level_VeryHigh,ph_category_Alkaline,ph_category_Neutral
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,58.333333333333336,17.121962830390814,4237.241985507428,1319.6868071327337,20,False,False,True,False,True
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,61.333333333333336,17.485957343980754,4934.3956937930625,1595.2235129754392,20,False,False,True,False,True
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,53.0,18.937446273298857,6072.354750974686,2069.534379794105,20,False,False,True,True,False
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,49.666666666666664,21.234829079544806,6433.734529941895,1695.288324121631,20,False,False,True,False,True
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,54.0,16.42720357036975,5288.545992510466,2004.1321099998663,20,False,False,True,True,False
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,49.333333333333336,19.22352236179895,5788.838416787989,1775.8258677809742,20,False,False,True,False,True
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,54.0,18.766450619256133,6161.472294769717,1546.770305293527,20,False,False,True,False,True
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,62.333333333333336,16.809050273750024,4906.690686838111,1383.7602073298087,20,False,False,True,False,True
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,60.333333333333336,20.479393937180863,5649.592417870608,1540.6129190983254,20,False,False,True,False,True
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,54.666666666666664,19.283614912692887,5137.356580850822,1401.6375466501652,20,False,False,True,False,True
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,61.333333333333336,21.597821864342382,7019.500867426213,1425.2600874039572,20,False,False,True,False,False
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,59.333333333333336,19.531028678403572,5996.741399510344,1876.332977880693,20,False,False,True,True,False
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,60.0,21.678319214626573,7623.123462356992,1453.0953456176678,20,False,False,True,False,False
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,61.666666666666664,19.70593825444888,4449.430887788381,1294.0424600612753,20,False,True,False,False,True
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,60.333333333333336,20.703064514330258,5379.22818416047,1456.214429228031,20,False,False,True,False,True
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,49.0,19.498583733044303,5611.260135963812,1627.3790797164322,20,False,False,True,False,True
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,54.666666666666664,17.871623104460287,5972.189374931609,1728.8326458772362,20,False,False,True,False,True
